iter	Passed	Remaining
0	1	191
1	3	166
2	4	155
3	6	144
4	7	146
5	9	143
6	10	145
7	12	143
8	14	142
9	15	140
10	17	138
11	18	136
12	20	134
13	21	133
14	23	131
15	24	130
16	26	128
17	27	127
18	29	125
19	30	123
20	32	121
21	33	119
22	35	118
23	36	116
24	38	115
25	40	114
26	41	112
27	43	110
28	44	108
29	46	107
30	47	106
31	49	104
32	50	102
33	52	101
34	53	100
35	55	98
36	56	96
37	58	95
38	59	93
39	61	91
40	62	90
41	63	87
42	64	86
43	66	84
44	68	83
45	69	81
46	71	80
47	72	79
48	74	77
49	75	75
50	77	74
51	79	72
52	80	71
53	82	70
54	83	68
55	85	67
56	87	65
57	89	64
58	90	62
59	92	61
60	93	59
61	95	58
62	96	56
63	98	55
64	99	53
65	101	52
66	102	50
67	104	49
68	105	47
69	107	46
70	109	44
71	110	43
72	112	41
73	113	39
74	115	38
75	116	36
76	118	35
77	119	33
78	121	32
79	122	30
80	124	29
81	126	27
82	128	26
83	129	24
84	131	23
85	132	21
86	134	20
87	135	18
88	137	16
89	138	15
90	140	13
91	141	12
92	143	10
93	144	9
94	146	7
95	147	6
96	149	4
97	150	3
98	152	1
99	153	0
