iter	Passed	Remaining
0	179	179500
1	181	90816
2	184	61202
3	186	46331
4	189	37788
5	192	31889
6	194	27622
7	197	24455
8	200	22097
9	202	20070
10	210	18917
11	214	17676
12	217	16481
13	223	15773
14	227	14945
15	232	14324
16	237	13731
17	240	13107
18	243	12571
19	245	12029
20	255	11925
21	259	11532
22	262	11145
23	267	10866
24	269	10524
25	271	10184
26	273	9867
27	276	9582
28	277	9306
29	279	9047
30	282	8832
31	288	8719
32	291	8550
33	294	8364
34	308	8519
35	317	8509
36	319	8327
37	321	8144
38	324	7984
39	325	7822
40	334	7820
41	336	7677
42	338	7542
43	356	7745
44	358	7605
45	363	7542
46	365	7417
47	367	7294
48	370	7184
49	373	7087
50	375	6980
51	378	6895
52	380	6795
53	382	6698
54	387	6650
55	401	6771
56	405	6706
57	410	6674
58	413	6588
59	415	6511
60	417	6420
61	418	6338
62	425	6330
63	428	6271
64	430	6196
65	432	6119
66	434	6047
67	437	6001
68	440	5939
69	442	5875
70	443	5807
71	445	5740
72	447	5677
73	449	5619
74	456	5635
75	459	5582
76	461	5530
77	462	5472
78	464	5416
79	468	5392
80	470	5339
81	472	5285
82	473	5226
83	475	5184
84	477	5135
85	478	5090
86	485	5091
87	501	5198
88	506	5188
89	509	5149
90	511	5109
91	520	5133
92	522	5093
93	527	5081
94	533	5084
95	536	5049
96	539	5017
97	540	4978
98	542	4937
99	557	5013
100	559	4976
101	562	4951
102	567	4938
103	568	4901
104	570	4861
105	572	4824
106	574	4794
107	585	4833
108	587	4801
109	589	4767
110	590	4732
111	596	4725
112	597	4693
113	599	4661
114	601	4628
115	602	4594
116	604	4559
117	606	4530
118	653	4840
119	700	5134
120	701	5099
121	703	5061
122	705	5027
123	712	5034
124	715	5009
125	718	4981
126	719	4946
127	721	4914
128	724	4890
129	726	4860
130	759	5035
131	760	5003
132	762	4971
133	764	4943
134	766	4913
135	768	4884
136	781	4924
137	820	5127
138	823	5103
139	826	5077
140	828	5047
141	829	5013
142	831	4982
143	833	4953
144	843	4971
145	846	4953
146	848	4923
147	851	4903
148	853	4873
149	855	4845
150	856	4817
151	858	4789
152	860	4766
153	862	4738
154	864	4713
155	868	4698
156	870	4673
157	872	4648
158	874	4623
159	875	4597
160	879	4584
161	881	4558
162	882	4533
163	884	4507
164	886	4486
165	889	4467
166	890	4442
167	907	4492
168	916	4507
169	920	4496
170	938	4548
171	948	4565
